Area,State,Chapter Name,Sub-chapter Name,Category,Gender,2012,2013,2014,2015,2016
Dallas County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,"1,239,379","1,253,902","1,277,361","1,296,053","1,307,558"
Denton County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"348,881","359,193","370,582","384,085","396,383"
Denton County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,"359,169","369,606","382,781","396,527","409,797"
Ector County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"72,214","75,024","77,519","80,809","79,663"
Ellis County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"76,027","77,061","78,682","80,733","83,033"
El Paso County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"405,742","405,966","408,298","409,260","411,740"
El Paso County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,"422,858","421,752","425,189","426,333","426,178"
Fort Bend County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"307,437","320,996","336,840","352,109","364,334"
Fort Bend County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,NA,NA,"348,505","363,978","376,903"
Galveston County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"149,149","151,930","155,220","159,119","162,418"
Galveston County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,NA,NA,NA,"163,106","167,013"
Grayson County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"59,304","59,722","60,296","61,410","62,712"
Grayson County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,NA,NA,NA,NA,NA
Gregg County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"60,132","60,267","60,332","60,815","60,466"
Guadalupe County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"68,804","70,572","72,702","74,686","76,655"
Hardin County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,NA,NA,NA,NA
Harris County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"2,120,280","2,162,702","2,210,767","2,257,424","2,281,871"
Harris County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,"2,133,683","2,174,151","2,230,603","2,280,604","2,308,057"
Harrison County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,NA,NA,NA,"32,477"
Hays County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"84,182","87,678","92,151","97,027","101,711"
Henderson County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"38,626",NA,"38,704","38,820","38,953"
Hidalgo County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"393,859","399,437","405,322","410,912","415,274"
Hidalgo County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,"412,116",NA,NA,"431,392","434,569"
Hood County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,"26,083",NA,NA,"27,786"
Hunt County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,"42,950","43,718","44,437","45,464"
Jefferson County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"128,107","128,962","129,090","130,270","130,539"
Jefferson County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,NA,NA,"123,145","124,038","124,140"
Jim Wells County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,NA,NA,NA,NA
Johnson County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"76,720","77,297","78,661","79,814","81,503"
Jones County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,NA,"12,542",NA,NA
Kaufman County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"52,383",NA,"54,707","56,406","58,364"
Kerr County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"24,083",NA,"24,391","24,555","24,834"
Lamar County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"24,131",NA,NA,NA,NA
Liberty County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,NA,"38,445","39,227",NA
Lubbock County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"141,552","143,171","145,281","147,992","149,558"
Lubbock County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,NA,NA,"148,693","151,461","153,579"
McLennan County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"116,813","117,930","118,822","119,964","120,934"
McLennan County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,NA,NA,NA,NA,NA
Midland County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"72,755","75,553","78,184","81,064","81,728"
Montgomery County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"240,272","247,348","257,125","266,403","275,468"
Montgomery County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,"244,518","251,789","261,822","271,156","280,735"
Nacogdoches County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,NA,NA,NA,NA
Navarro County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,NA,NA,"23,759",NA
Nueces County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"170,916","173,326","175,515","177,502","178,300"
Nueces County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,NA,NA,NA,NA,NA
Orange County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"41,152","41,186","41,339",NA,NA
Parker County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"60,605","61,354","61,541","62,828","64,409"
Polk County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,NA,"24,695",NA,NA
Potter County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"62,861","62,585","62,394","62,788","62,295"
Randall County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"61,146",NA,"63,080","64,169","65,126"
Rockwall County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"40,802","41,834",NA,"44,597","46,286"
San Patricio County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,NA,NA,"33,690","33,878"
Smith County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"103,793","104,427","105,732","107,677","108,798"
Smith County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,NA,"111,653",NA,"115,259","116,492"
Tarrant County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"922,734","937,236","951,765","969,958","986,947"
Tarrant County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,"958,711","974,305","993,595","1,012,540","1,029,925"
Taylor County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"65,400","65,514","66,046","66,486","66,932"
Tom Green County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"56,022","56,886","57,965","58,814",NA
Travis County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"553,077","565,721","579,894","592,630","604,477"
Travis County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,"543,169","555,233","571,251","583,928","594,846"
Upshur County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"19,840",NA,NA,NA,NA
Van Zandt County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,"25,713",NA,NA,"26,629"
Victoria County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"43,685","44,150","44,734","45,442","45,397"
Walker County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,"40,358",NA,"41,341","41,667"
Webb County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"126,746","128,641",NA,"131,810","132,584"
Wichita County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,"68,088","68,294","68,038","68,185"
Williamson County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"224,648","231,813","240,418","249,777","259,913"
Williamson County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,"231,711",NA,"248,832","258,737","268,805"
Wise County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,NA,"31,046",NA,"32,297"
Wood County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,NA,NA,NA,NA
,,,,,,,,,,
